Year,COUNT,State,County,Arbovirus,name
2000,3,CT,09001,WNV,Culex pipiens
2000,4,CT,09001,WNV,Culex restuans
2000,3,CT,09001,WNV,Culiseta melanura
2000,2,CT,09009,WNV,Culex pipiens
2000,2,CT,09009,WNV,Culex salinarius
2000,1,MA,25021,WNV,Aedes triseriatus
2000,1,MA,25021,WNV,Culex restuans
2000,1,MA,25021,WNV,Culex sp.
2000,1,MA,25025,WNV,Culex sp.
2001,1,CT,09001,WNV,Aedes c. canadensis
2001,1,CT,09001,WNV,Aedes sollicitans
2001,11,CT,09001,WNV,Culex pipiens
2001,2,CT,09001,WNV,Culex salinarius
2001,1,CT,09001,WNV,Culiseta melanura
2001,1,CT,09005,WNV,Aedes cinereus
2001,1,CT,09005,WNV,Culiseta melanura
2001,1,CT,09009,WNV,Aedes taeniorhynchus
2001,2,CT,09009,WNV,Culex pipiens
2001,1,CT,09009,WNV,Culex restuans
2001,4,CT,09009,WNV,Culex salinarius
2001,3,CT,09009,WNV,Culiseta melanura
2001,1,CT,09011,WNV,Anopheles punctipennis
2001,1,CT,09011,WNV,Uranotaenia sapphirina
2001,1,MA,25005,WNV,Culex restuans
2001,3,MA,25005,WNV,Culiseta melanura
2001,3,MA,25009,WNV,Culex pipiens
2001,1,MA,25009,WNV,Culex restuans
2001,3,MA,25017,WNV,Culex pipiens
2001,2,MA,25017,WNV,Culex restuans
2001,7,MA,25017,WNV,Culex sp.
2001,1,MA,25021,WNV,Aedes j. japonicus
2001,1,MA,25021,WNV,Culex pipiens
2001,2,MA,25021,WNV,Culex sp.
2001,1,MA,25023,WNV,Culex restuans
2001,2,NH,33015,WNV,Culex pipiens-restuans (Mixed)
2001,1,NH,33017,WNV,Aedes triseriatus
2001,2,RI,44005,WNV,Aedes c. canadensis
2001,1,RI,44005,WNV,Aedes vexans
2001,2,RI,44005,WNV,Anopheles quadrimaculatus s.l.
2001,1,RI,44005,WNV,Culex sp.
2001,1,RI,44007,WNV,Aedes cantator
2001,1,RI,44007,WNV,Anopheles punctipennis
2001,2,RI,44007,WNV,Coquillettidia perturbans
2001,2,RI,44007,WNV,Culex sp.
2001,1,RI,44007,WNV,Orthopodomyia signifera
2001,1,RI,44009,WNV,Culiseta sp.
2002,3,CT,09001,WNV,Aedes vexans
2002,40,CT,09001,WNV,Culex pipiens
2002,6,CT,09001,WNV,Culex restuans
2002,3,CT,09001,WNV,Culex salinarius
2002,1,CT,09003,WNV,Aedes trivittatus
2002,1,CT,09003,WNV,Aedes vexans
2002,9,CT,09003,WNV,Culex pipiens
2002,4,CT,09003,WNV,Culex restuans
2002,1,CT,09003,WNV,Uranotaenia sapphirina
2002,4,CT,09009,WNV,Culex pipiens
2002,1,CT,09015,WNV,Culex pipiens
2002,1,MA,25005,WNV,Culex restuans
2002,1,MA,25005,WNV,Culex sp.
2002,7,MA,25009,WNV,Culex pipiens
2002,1,MA,25009,WNV,Culex sp.
2002,2,MA,25013,WNV,Culex pipiens
2002,1,MA,25013,WNV,Culex restuans
2002,6,MA,25013,WNV,Culex sp.
2002,2,MA,25017,WNV,Culex pipiens
2002,6,MA,25017,WNV,Culex sp.
2002,2,MA,25021,WNV,Culex pipiens
2002,16,MA,25021,WNV,Culex sp.
2002,4,MA,25025,WNV,Culex pipiens
2002,3,MA,25025,WNV,Culex restuans
2002,11,MA,25025,WNV,Culex sp.
2002,2,MA,25025,WNV,Culiseta melanura
2002,1,MA,25027,WNV,Culex restuans
2002,1,ME,23031,WNV,Aedes sollicitans
2002,1,NH,33005,WNV,Aedes j. japonicus
2002,1,NH,33009,WNV,Aedes triseriatus
2002,1,NH,33011,WNV,Aedes j. japonicus
2002,6,NH,33011,WNV,Culex pipiens
2002,18,NH,33011,WNV,Culex pipiens-restuans (Mixed)
2002,2,NH,33011,WNV,Culex restuans
2002,1,NH,33013,WNV,Anopheles punctipennis
2002,1,NH,33013,WNV,Anopheles walkeri
2002,1,NH,33013,WNV,Coquillettidia perturbans
2002,1,NH,33013,WNV,Culex pipiens-restuans (Mixed)
2002,1,RI,44001,WNV,Aedes vexans
2002,1,RI,44007,WNV,Aedes vexans
2002,2,RI,44007,WNV,Culex pipiens
2002,1,VT,50001,WNV,Culex pipiens-restuans (Mixed)
2002,8,VT,50011,WNV,Culex pipiens-restuans (Mixed)
2002,1,VT,50013,WNV,Culex pipiens-restuans (Mixed)
2002,1,VT,50019,WNV,Culex pipiens-restuans (Mixed)
2003,1,CT,09001,WNV,Aedes c. canadensis
