Year,State,County,Week,Arbovirus,CorvidsReported,CorvidsTested,OtherReported,OtherTested
2004,MA,25001,20,WNV,1,0,1,0
2004,MA,25001,22,WNV,0,0,1,0
2004,MA,25001,23,WNV,1,0,0,0
2004,MA,25001,24,WNV,2,1,6,0
2004,MA,25001,25,WNV,2,0,3,0
2004,MA,25001,26,WNV,4,0,2,0
2004,MA,25001,27,WNV,2,0,2,0
2004,MA,25001,28,WNV,3,1,6,0
2004,MA,25001,29,WNV,3,1,3,0
2004,MA,25001,30,WNV,0,0,2,0
2004,MA,25001,31,WNV,2,0,3,0
2004,MA,25001,32,WNV,3,0,3,0
2004,MA,25001,33,WNV,4,0,0,0
2004,MA,25001,34,WNV,0,0,3,0
2004,MA,25001,35,WNV,2,0,3,0
2004,MA,25001,36,WNV,2,0,6,0
2004,MA,25001,37,WNV,1,0,2,0
2004,MA,25001,38,WNV,1,0,3,0
2004,MA,25003,20,WNV,1,0,0,0
2004,MA,25003,22,WNV,0,0,1,0
2004,MA,25003,23,WNV,1,0,2,0
2004,MA,25003,24,WNV,2,1,1,1
2004,MA,25003,25,WNV,3,2,2,0
2004,MA,25003,26,WNV,1,0,1,0
2004,MA,25003,27,WNV,3,0,1,0
2004,MA,25003,28,WNV,1,1,3,0
2004,MA,25003,29,WNV,2,0,1,0
2004,MA,25003,31,WNV,1,0,1,0
2004,MA,25003,32,WNV,0,0,3,0
2004,MA,25003,35,WNV,1,0,0,0
2004,MA,25003,38,WNV,1,1,0,0
2004,MA,25005,13,WNV,0,0,1,0
2004,MA,25005,17,WNV,0,0,1,1
2004,MA,25005,21,WNV,0,0,8,0
2004,MA,25005,22,WNV,1,0,3,0
2004,MA,25005,23,WNV,3,0,4,0
2004,MA,25005,24,WNV,9,0,5,0
2004,MA,25005,25,WNV,1,0,9,0
2004,MA,25005,26,WNV,2,0,5,0
2004,MA,25005,27,WNV,3,1,11,0
2004,MA,25005,28,WNV,2,0,8,0
2004,MA,25005,29,WNV,1,0,6,0
2004,MA,25005,30,WNV,2,0,3,0
2004,MA,25005,31,WNV,0,0,4,0
2004,MA,25005,32,WNV,3,1,11,0
2004,MA,25005,33,WNV,2,0,9,1
2004,MA,25005,34,WNV,0,0,11,0
2004,MA,25005,35,WNV,1,0,3,0
2004,MA,25005,36,WNV,1,1,6,0
2004,MA,25005,37,WNV,5,1,9,1
2004,MA,25005,38,WNV,5,2,4,0
2004,MA,25007,22,WNV,1,0,0,0
2004,MA,25007,27,WNV,2,0,1,0
2004,MA,25007,32,WNV,2,0,0,0
2004,MA,25007,34,WNV,2,0,0,0
2004,MA,25007,36,WNV,1,0,0,0
2004,MA,25009,20,WNV,1,0,1,0
2004,MA,25009,21,WNV,0,0,1,0
2004,MA,25009,22,WNV,0,0,2,0
2004,MA,25009,23,WNV,2,0,3,0
2004,MA,25009,24,WNV,3,0,4,0
2004,MA,25009,25,WNV,4,0,7,0
2004,MA,25009,26,WNV,4,1,5,0
2004,MA,25009,27,WNV,3,1,9,0
2004,MA,25009,28,WNV,4,1,7,0
2004,MA,25009,29,WNV,4,0,3,0
2004,MA,25009,30,WNV,4,0,9,0
2004,MA,25009,31,WNV,2,0,1,0
2004,MA,25009,32,WNV,3,0,6,0
2004,MA,25009,33,WNV,2,0,4,0
2004,MA,25009,34,WNV,0,0,3,0
2004,MA,25009,35,WNV,1,0,0,0
2004,MA,25009,36,WNV,0,0,2,0
2004,MA,25009,37,WNV,5,0,3,0
2004,MA,25009,38,WNV,2,0,4,0
2004,MA,25011,21,WNV,0,0,7,0
2004,MA,25011,22,WNV,0,0,1,0
2004,MA,25011,23,WNV,0,0,4,0
2004,MA,25011,24,WNV,0,0,1,0
2004,MA,25011,25,WNV,0,0,1,0
2004,MA,25011,26,WNV,1,0,0,0
2004,MA,25011,28,WNV,1,0,2,0
2004,MA,25011,29,WNV,1,0,1,0
2004,MA,25011,30,WNV,0,0,1,0
2004,MA,25011,31,WNV,1,0,0,0
2004,MA,25011,33,WNV,0,0,1,0
2004,MA,25013,7,WNV,1,1,0,0
2004,MA,25013,20,WNV,0,0,4,0
2004,MA,25013,21,WNV,1,0,7,0
2004,MA,25013,22,WNV,2,0,3,0
2004,MA,25013,23,WNV,2,1,6,0
2004,MA,25013,24,WNV,1,0,13,0
2004,MA,25013,25,WNV,1,0,7,0
2004,MA,25013,26,WNV,2,0,10,1
2004,MA,25013,27,WNV,1,0,8,0
2004,MA,25013,28,WNV,4,1,13,0
2004,MA,25013,29,WNV,6,0,8,0
2004,MA,25013,30,WNV,5,1,11,0
2004,MA,25013,31,WNV,4,0,4,0
2004,MA,25013,32,WNV,0,0,9,0
2004,MA,25013,33,WNV,2,0,7,0
2004,MA,25013,34,WNV,2,2,6,0
2004,MA,25013,35,WNV,2,0,3,0
2004,MA,25013,36,WNV,2,0,1,0
2004,MA,25013,37,WNV,0,0,3,1
2004,MA,25013,38,WNV,1,0,4,0
2004,MA,25015,18,WNV,1,0,1,0
2004,MA,25015,20,WNV,0,0,1,0
2004,MA,25015,21,WNV,0,0,2,0
2004,MA,25015,22,WNV,0,0,3,0
2004,MA,25015,23,WNV,1,0,1,0
2004,MA,25015,24,WNV,2,0,0,0
2004,MA,25015,25,WNV,4,1,3,0
2004,MA,25015,26,WNV,2,0,2,0
2004,MA,25015,27,WNV,7,0,3,0
2004,MA,25015,28,WNV,2,0,3,0
2004,MA,25015,29,WNV,0,0,1,0
2004,MA,25015,30,WNV,0,0,3,0
2004,MA,25015,31,WNV,2,1,0,0
2004,MA,25015,32,WNV,2,0,2,0
2004,MA,25015,33,WNV,0,0,2,0
2004,MA,25015,34,WNV,4,1,1,0
2004,MA,25015,35,WNV,2,0,1,1
2004,MA,25015,36,WNV,0,0,1,0
2004,MA,25015,38,WNV,0,0,1,0
2004,MA,25017,9,WNV,1,1,0,0
2004,MA,25017,20,WNV,4,0,14,0
2004,MA,25017,21,WNV,1,0,4,0
2004,MA,25017,22,WNV,0,0,17,0
2004,MA,25017,23,WNV,8,0,19,0
2004,MA,25017,24,WNV,11,1,27,1
2004,MA,25017,25,WNV,11,3,18,0
2004,MA,25017,26,WNV,13,0,12,0
2004,MA,25017,27,WNV,10,0,22,1
2004,MA,25017,28,WNV,11,3,22,3
2004,MA,25017,29,WNV,5,2,10,0
2004,MA,25017,30,WNV,7,0,10,0
2004,MA,25017,31,WNV,4,0,9,0
2004,MA,25017,32,WNV,3,0,9,0
2004,MA,25017,33,WNV,3,0,6,0
2004,MA,25017,34,WNV,6,0,12,0
2004,MA,25017,35,WNV,3,0,8,0
2004,MA,25017,36,WNV,2,0,6,0
2004,MA,25017,37,WNV,4,1,17,0
2004,MA,25017,38,WNV,4,1,7,0
2004,MA,25019,27,WNV,0,0,1,0
2004,MA,25021,19,WNV,0,0,1,0
2004,MA,25021,20,WNV,0,0,5,0
2004,MA,25021,21,WNV,0,0,9,0
2004,MA,25021,22,WNV,1,0,8,0
2004,MA,25021,23,WNV,1,0,5,0
2004,MA,25021,24,WNV,5,0,9,0
2004,MA,25021,25,WNV,8,2,18,0
2004,MA,25021,26,WNV,4,0,13,0
2004,MA,25021,27,WNV,5,0,22,0
2004,MA,25021,28,WNV,6,1,13,0
2004,MA,25021,29,WNV,6,1,13,0
2004,MA,25021,30,WNV,4,1,8,0
2004,MA,25021,31,WNV,1,0,7,0
2004,MA,25021,32,WNV,4,1,7,0
2004,MA,25021,33,WNV,4,1,13,0
2004,MA,25021,34,WNV,2,0,7,0
2004,MA,25021,35,WNV,1,0,12,0
2004,MA,25021,36,WNV,2,0,5,0
2004,MA,25021,37,WNV,5,1,7,0
2004,MA,25021,38,WNV,3,1,6,1
2004,MA,25023,19,WNV,0,0,2,0
2004,MA,25023,20,WNV,0,0,3,0
2004,MA,25023,21,WNV,1,0,9,0
2004,MA,25023,22,WNV,0,0,15,0
2004,MA,25023,23,WNV,1,0,7,0
2004,MA,25023,24,WNV,5,0,4,0
2004,MA,25023,25,WNV,1,0,5,0
2004,MA,25023,26,WNV,3,0,7,0
2004,MA,25023,27,WNV,4,0,8,0
2004,MA,25023,28,WNV,1,0,8,0
2004,MA,25023,29,WNV,1,0,7,0
2004,MA,25023,30,WNV,2,0,6,0
2004,MA,25023,31,WNV,0,0,8,0
2004,MA,25023,32,WNV,0,0,10,0
2004,MA,25023,33,WNV,2,0,8,0
2004,MA,25023,34,WNV,3,1,8,1
2004,MA,25023,35,WNV,2,0,9,1
2004,MA,25023,36,WNV,1,0,9,1
2004,MA,25023,37,WNV,1,1,5,0
2004,MA,25023,38,WNV,1,1,4,1
2004,MA,25025,21,WNV,0,0,2,0
2004,MA,25025,22,WNV,0,0,5,0
2004,MA,25025,25,WNV,2,0,0,0
2004,MA,25025,26,WNV,0,0,3,0
2004,MA,25025,27,WNV,2,1,3,0
2004,MA,25025,28,WNV,2,0,3,0
2004,MA,25025,29,WNV,3,0,5,0
2004,MA,25025,30,WNV,0,0,3,0
2004,MA,25025,31,WNV,3,0,4,0
2004,MA,25025,32,WNV,2,1,6,0
2004,MA,25025,33,WNV,4,1,2,0
2004,MA,25025,34,WNV,3,0,2,1
2004,MA,25025,35,WNV,2,0,2,0
2004,MA,25025,36,WNV,0,0,2,0
2004,MA,25025,37,WNV,0,0,1,0
2004,MA,25025,38,WNV,1,0,2,1
2004,MA,25027,20,WNV,0,0,5,0
2004,MA,25027,21,WNV,2,2,7,1
2004,MA,25027,22,WNV,0,0,4,0
2004,MA,25027,23,WNV,1,0,13,0
2004,MA,25027,24,WNV,2,0,11,1
2004,MA,25027,25,WNV,5,1,8,0
2004,MA,25027,26,WNV,8,0,9,1
2004,MA,25027,27,WNV,5,1,9,0
2004,MA,25027,28,WNV,3,0,8,0
2004,MA,25027,29,WNV,5,0,9,0
2004,MA,25027,30,WNV,2,0,2,0
2004,MA,25027,31,WNV,2,0,1,0
2004,MA,25027,32,WNV,3,1,7,0
2004,MA,25027,33,WNV,0,0,3,0
2004,MA,25027,34,WNV,0,0,28,3
2004,MA,25027,35,WNV,1,1,4,0
2004,MA,25027,36,WNV,2,1,0,0
2004,MA,25027,37,WNV,6,0,4,0
2004,MA,25027,38,WNV,2,1,3,0
2004,NH,33001,28,WNV,1,1,0,0
2004,NH,33001,30,WNV,1,1,0,0
2004,NH,33003,34,WNV,1,1,0,0
2004,NH,33005,28,WNV,3,3,0,0
2004,NH,33005,32,WNV,2,2,0,0
2004,NH,33005,34,WNV,0,0,1,1
2004,NH,33011,23,WNV,4,4,0,0
2004,NH,33011,24,WNV,1,1,0,0
2004,NH,33011,25,WNV,3,3,1,1
2004,NH,33011,26,WNV,0,0,1,1
2004,NH,33011,28,WNV,2,2,0,0
2004,NH,33011,29,WNV,4,4,0,0
2004,NH,33011,30,WNV,2,2,0,0
2004,NH,33011,32,WNV,2,2,0,0
2004,NH,33011,33,WNV,2,2,1,1
2004,NH,33011,34,WNV,3,3,0,0
2004,NH,33013,24,WNV,1,1,0,0
2004,NH,33013,25,WNV,0,0,1,1
2004,NH,33013,26,WNV,1,1,0,0
2004,NH,33013,27,WNV,1,1,0,0
2004,NH,33013,32,WNV,1,1,0,0
2004,NH,33013,33,WNV,0,0,2,2
2004,NH,33015,24,WNV,1,1,0,0
2004,NH,33015,26,WNV,2,2,0,0
2004,NH,33015,28,WNV,0,0,1,1
2004,NH,33015,30,WNV,1,1,0,0
2004,NH,33015,32,WNV,1,1,1,1
2004,NH,33019,23,WNV,0,0,1,1
2004,VT,50001,23,WNV,0,0,1,1
2004,VT,50001,24,WNV,0,0,3,2
2004,VT,50001,25,WNV,0,0,6,2
2004,VT,50001,26,WNV,1,1,6,2
2004,VT,50001,27,WNV,0,0,6,2
2004,VT,50001,28,WNV,0,0,8,5
2004,VT,50001,29,WNV,0,0,5,1
2004,VT,50001,30,WNV,0,0,5,1
2004,VT,50001,31,WNV,2,1,3,2
2004,VT,50001,32,WNV,0,0,4,3
2004,VT,50001,33,WNV,0,0,1,1
2004,VT,50001,34,WNV,0,0,3,1
2004,VT,50001,35,WNV,0,0,4,2
2004,VT,50001,36,WNV,0,0,5,2
2004,VT,50001,38,WNV,0,0,2,2
2004,VT,50001,39,WNV,0,0,1,1
2004,VT,50001,40,WNV,0,0,1,1
2004,VT,50003,23,WNV,1,0,0,0
2004,VT,50003,24,WNV,0,0,1,0
2004,VT,50003,26,WNV,0,0,6,1
2004,VT,50003,27,WNV,1,0,2,1
2004,VT,50003,28,WNV,3,2,4,1
2004,VT,50003,29,WNV,1,1,1,0
2004,VT,50003,30,WNV,0,0,5,2
2004,VT,50003,31,WNV,0,0,3,0
2004,VT,50003,33,WNV,0,0,3,2
2004,VT,50003,34,WNV,0,0,3,2
2004,VT,50003,35,WNV,0,0,3,3
2004,VT,50003,36,WNV,0,0,1,0
2004,VT,50003,37,WNV,0,0,3,2
2004,VT,50003,38,WNV,0,0,1,0
2004,VT,50003,40,WNV,0,0,1,0
2004,VT,50003,41,WNV,0,0,1,1
2004,VT,50005,22,WNV,0,0,1,0
2004,VT,50005,24,WNV,0,0,2,2
2004,VT,50005,25,WNV,0,0,2,2
2004,VT,50005,26,WNV,0,0,4,3
2004,VT,50005,27,WNV,0,0,3,1
2004,VT,50005,28,WNV,0,0,1,1
2004,VT,50005,29,WNV,0,0,1,1
2004,VT,50005,30,WNV,0,0,2,2
2004,VT,50005,32,WNV,0,0,1,0
2004,VT,50005,33,WNV,0,0,3,2
2004,VT,50005,34,WNV,0,0,1,0
2004,VT,50005,35,WNV,0,0,2,1
2004,VT,50005,37,WNV,0,0,4,3
2004,VT,50005,38,WNV,0,0,1,1
2004,VT,50005,39,WNV,0,0,1,1
2004,VT,50005,40,WNV,0,0,3,3
2004,VT,50007,19,WNV,0,0,1,1
2004,VT,50007,22,WNV,0,0,2,0
2004,VT,50007,23,WNV,2,0,4,0
2004,VT,50007,24,WNV,1,0,10,5
2004,VT,50007,25,WNV,3,1,20,10
2004,VT,50007,26,WNV,2,1,33,16
