Year,State,County,Week,Arbovirus,onsetdate,SpeciesName
2004,MA,25009,38,EEE,9/20/2004,Other Species
2004,MA,25017,40,EEE,10/4/2004,Other Species
2003,RI,44009,37,EEE,9/12/2003,Other Species
2003,RI,44007,39,EEE,9/22/2003,Other Species
2005,NH,33011,39,EEE,10/1/2005,Other Species
2005,NH,33013,37,EEE,9/17/2005,Other Species
2005,RI,44007,39,EEE,9/27/2005,Other Species
2005,NH,33017,38,EEE,9/22/2005,Other Species
2005,NH,33017,39,EEE,9/25/2005,Other Species
2005,NH,33017,39,EEE,9/27/2005,Other Species
2005,MA,25027,38,EEE,9/20/2005,Other Species
2006,MA,25023,36,EEE,9/7/2006,Other Species
2007,NH,33015,41,EEE,10/13/2007,Other Species
2008,NH,33001,36,EEE,8/31/2008,Other Species
2009,MA,25021,40,EEE,10/7/2009,Other Species
2009,NH,33005,38,EEE,9/21/2009,Other Species
2011,VT,50021,38,EEE,9/21/2011,Other Species
2000,CT,09001,39,WNV,9/27/2000,Other Species
2004,NH,33015,33,EEE,8/17/2004,Equine
2004,NH,33015,36,EEE,9/9/2004,Equine
2004,RI,44005,39,EEE,9/26/2004,Equine
2004,NH,33013,39,EEE,9/27/2004,Equine
2004,MA,25023,35,EEE,9/2/2004,Equine
2004,MA,25017,37,EEE,9/18/2004,Equine
2004,MA,25021,34,EEE,8/25/2004,Equine
2004,MA,25023,37,EEE,9/15/2004,Equine
2004,MA,25017,38,EEE,9/23/2004,Equine
2004,MA,25023,39,EEE,10/2/2004,Equine
2004,MA,25009,40,EEE,10/4/2004,Equine
2003,CT,09003,34,WNV,8/22/2003,Equine
2003,CT,09005,35,WNV,8/28/2003,Equine
2003,CT,09003,36,WNV,9/4/2003,Equine
2003,CT,09013,35,WNV,8/29/2003,Equine
2003,CT,09003,37,WNV,9/10/2003,Equine
2003,CT,09009,38,WNV,9/14/2003,Equine
2003,CT,09009,36,WNV,9/6/2003,Equine
2003,CT,09005,37,WNV,9/9/2003,Equine
2003,CT,09005,37,WNV,9/9/2003,Equine
2003,CT,09009,37,WNV,9/13/2003,Equine
2003,CT,09003,39,WNV,9/22/2003,Equine
2003,CT,09009,38,WNV,9/18/2003,Equine
2003,VT,50001,38,WNV,9/19/2003,Equine
2003,VT,50001,39,WNV,9/27/2003,Equine
2003,VT,50001,40,WNV,9/30/2003,Equine
2003,VT,50025,41,WNV,10/8/2003,Equine
2003,RI,44009,36,EEE,9/5/2003,Equine
2003,RI,44009,36,EEE,9/3/2003,Equine
2003,RI,44009,36,EEE,9/5/2003,Equine
2003,RI,44009,39,EEE,9/25/2003,Equine
2003,RI,44005,40,EEE,9/29/2003,Equine
2003,RI,44009,38,WNV,9/15/2003,Equine
2003,RI,44009,39,WNV,9/25/2003,Equine
2003,RI,44007,40,WNV,10/1/2003,Equine
2003,RI,44007,40,EEE,10/1/2003,Equine
2003,RI,44005,40,EEE,10/1/2003,Equine
2003,NH,33011,40,WNV,10/2/2003,Equine
2003,MA,25003,37,WNV,9/9/2003,Equine
